experiment_id,timestamp,query,reference,answer,embedding_model,generation_model,top_k,temperature,top_p,top_k_sampling,max_new_tokens,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_l_f1,rouge_l_precision,rouge_l_recall,bleu,meteor,bert_score_f1,bert_score_precision,bert_score_recall,embedding_similarity,faithfulness,composite_score,answer_length,retrieval_time,generation_time,evaluation_time,total_time,avg_retrieval_score
1,2025-12-05 05:53:37,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the available options, the Belkin USB C to USB-C Fast Charging Type C Cable would be a great choice for under 300 rupees. It offers fast charging capabilities, is USB-IF certified, and has received positive reviews for its durability and performance. Although it's currently priced at ₹599, ",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,30,512,0.2753623188405797,0.18095238095238095,0.5757575757575758,0.20289855072463767,0.13333333333333333,0.42424242424242425,0.04620145570399231,0.3745354474493011,0.8766028881072998,0.8578153848648071,0.8962315917015076,0.5707681179046631,0.7802906155586242,0.5199599568079362,634,0.0772709846496582,20.32753014564514,8.911201477050781,29.31600260734558,0.8060670495033264
2,2025-12-05 05:53:58,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 stars and supports 60W charging. However, please note that the official Belkin product page does not explicitly mention 60W support, and Belkin customer support indicates it supports only 15W. The Ambrane cable, on th",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,30,512,0.2836879432624113,0.18018018018018017,0.6666666666666666,0.24113475177304963,0.15315315315315314,0.5666666666666667,0.028385952603814057,0.246288039921466,0.8950892686843872,0.8674285411834717,0.924572229385376,0.8508419990539551,0.7905697226524353,0.5652617599992787,681,0.011219978332519531,20.75728464126587,0.9650201797485352,21.733524799346924,0.745629072189331
3,2025-12-05 05:54:28,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Determining the ""best"" iPhone lightning cable among the listed options depends on various factors such as price, performance, and customer satisfaction. However, based on the provided information, the Belkin Apple Certified Lightning to Type C Cable stands out as a strong contender due to its high r",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,30,512,0.2761904761904762,0.17791411042944785,0.6170212765957447,0.14285714285714285,0.09202453987730061,0.3191489361702128,0.014533708190124409,0.29579908717245845,0.8509582281112671,0.8227941989898682,0.8811187744140625,0.7768433094024658,0.7691455423831939,0.5327507689462725,1007,0.010885000228881836,29.034690380096436,0.9323272705078125,29.97790265083313,0.7594654560089111
4,2025-12-05 05:55:00,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","If you're looking for long-lasting headphones, the boAt Rockerz 450 could be a great choice. These headphones offer a massive battery backup of up to 15 hours, which is significantly longer than the 8 hours provided by the boAt Rockerz 400. Additionally, they come with 40mm drivers for immersive HD ",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,30,512,0.16438356164383564,0.10112359550561797,0.43902439024390244,0.1095890410958904,0.06741573033707865,0.2926829268292683,0.02483170808245128,0.19619980935109624,0.8436105251312256,0.825123131275177,0.8629453182220459,0.606914758682251,0.5436303496360778,0.44595902046774655,1021,0.01094675064086914,30.832571029663086,1.0143983364105225,31.857916116714478,0.7121245265007019
5,2025-12-05 05:55:29,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the options available, the Belkin USB C to USB-C Fast Charging Type C Cable would be a great choice for under 300 rupees. It offers fast charging capabilities up to 50% in about 36 minutes, is USB-IF certified, and comes with a 2-year warranty. Additionally, it has passed 8,000+ bend tests,",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,50,512,0.19791666666666669,0.11949685534591195,0.5757575757575758,0.13541666666666669,0.08176100628930817,0.3939393939393939,0.02385253887756842,0.3630987312765482,0.85835200548172,0.831535816192627,0.8869553804397583,0.6447415947914124,0.8217373251914977,0.5158934497604346,856,0.011078596115112305,27.53009819984436,0.9439394474029541,28.485116243362427,0.8060670495033264
6,2025-12-05 05:55:52,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 stars and supports 60W charging. However, please note that according to some reviews and the product description, it may only support 15W as per Belkin's official specifications. The Ambrane 60W / 3A Type C Fast Charg",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,50,512,0.3255813953488372,0.21212121212121213,0.7,0.27906976744186046,0.18181818181818182,0.6,0.035577263288851635,0.20547945205479456,0.8947498202323914,0.8705998659133911,0.9202778339385986,0.8714109063148499,0.801845097541809,0.5729989064914228,551,0.011254072189331055,21.855552673339844,0.9078385829925537,22.77464532852173,0.745629072189331
7,2025-12-05 05:56:16,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Determining the ""best"" iPhone lightning cable depends on individual needs and preferences, but based on the provided information, the Belkin Apple Certified Lightning to Type C Cable stands out. It offers fast charging capabilities, is MFi certified ensuring compatibility, and has a longer length of",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,50,512,0.3164556962025316,0.22522522522522523,0.5319148936170213,0.1772151898734177,0.12612612612612611,0.2978723404255319,0.021142603761874004,0.276761672509272,0.867757260799408,0.845120906829834,0.8916395902633667,0.7537986040115356,0.7419564604759216,0.5348902819099244,716,0.010526657104492188,23.71833038330078,0.8978266716003418,24.626683712005615,0.7594654560089111
8,2025-12-05 05:56:47,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","If you're looking for long-lasting headphones, the boAt Rockerz 450 would be a great choice. They offer a massive battery backup of up to 15 hours, which is significantly longer than the 8 hours provided by the boAt Rockerz 400. Additionally, the boAt Rockerz 450 features padded ear cushions for a c",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.85,50,512,0.17560975609756097,0.10975609756097561,0.43902439024390244,0.09756097560975609,0.06097560975609756,0.24390243902439024,0.006863336182604069,0.1744186046511628,0.8393763303756714,0.82662034034729,0.852532148361206,0.5989486575126648,0.5640808761119842,0.44020809919431575,948,0.010769128799438477,29.619694471359253,0.9298701286315918,30.560333728790283,0.7121245265007019
9,2025-12-05 05:57:14,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the provided information, the Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - White, USB-IF Certified would be a great recommendation. It offers fast charging capabilities up to 50% in around 36 minutes, is USB",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,30,512,0.23204419889502761,0.14189189189189189,0.6363636363636364,0.16574585635359115,0.10135135135135136,0.45454545454545453,0.03940628520777355,0.3795918367346939,0.860700786113739,0.829926609992981,0.8938450813293457,0.5887389183044434,0.8453233122825623,0.518113720973423,859,0.010770082473754883,26.471354484558105,0.9727866649627686,27.45491123199463,0.8060670495033264
10,2025-12-05 05:58:10,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 ⭐ and supports 60W charging. However, please note that according to the product page, it actually supports up to 30W as stated by Belkin support. The Ambrane cable supports up to 60W flash charge support, but it has a",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,30,512,0.125,0.06804733727810651,0.7666666666666667,0.1141304347826087,0.0621301775147929,0.7,0.00907453543685843,0.18856746047055062,0.8383029103279114,0.7854161858558655,0.8988261222839355,0.81941819190979,0.8065947473049164,0.5072244567869568,2023,0.010622978210449219,55.16042923927307,1.0583784580230713,56.22943067550659,0.745629072189331
11,2025-12-05 05:58:35,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Determining the ""best"" iPhone lightning cable depends on your specific needs and preferences, but based on the provided information, the Belkin Apple Certified Lightning to Type C Cable stands out. It offers fast charging capabilities, is MFi certified, and comes with a longer 4-foot length compared",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,30,512,0.3612903225806451,0.25925925925925924,0.5957446808510638,0.21935483870967745,0.1574074074074074,0.3617021276595745,0.029311759513535485,0.3139283924923883,0.8700531721115112,0.8506893515586853,0.8903189897537231,0.770295262336731,0.8015935897827149,0.5598166554277396,717,0.010867834091186523,22.890116691589355,1.4814074039459229,24.382391929626465,0.7594654560089111
12,2025-12-05 05:59:32,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","For long-lasting headphones, the boAt Rockerz 450 is a great choice. It offers a massive battery backup of up to 15 hours, ensuring you can enjoy music for extended periods without needing to recharge. Additionally, it features 40mm drivers that deliver immersive HD audio, and the padded ear cushion",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,30,512,0.12224938875305622,0.06793478260869565,0.6097560975609756,0.09290953545232275,0.051630434782608696,0.4634146341463415,0.02466716913167053,0.19200393357756848,0.8311328291893005,0.7969352006912231,0.8683969378471375,0.6573305726051331,0.8936217308044434,0.4813946942691363,2225,0.010493993759155273,56.09565019607544,1.0614562034606934,57.16760039329529,0.7121245265007019
13,2025-12-05 05:59:59,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the options available, the Belkin USB C to USB-C Fast Charging Type C Cable would be a great choice for under 300 rupees. It offers fast charging capabilities up to 50%, supports Power Delivery (PD), and comes with a 2-year warranty. While it's currently priced at ₹599, it was previously av",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,50,512,0.2365591397849462,0.1437908496732026,0.6666666666666666,0.15053763440860216,0.0915032679738562,0.42424242424242425,0.032535838966850375,0.31868985715139553,0.8638898730278015,0.8352068066596985,0.8946130275726318,0.6280057430267334,0.8312260270118712,0.5144629594522333,897,0.011096954345703125,25.93395209312439,0.9222393035888672,26.86728835105896,0.8060670495033264
14,2025-12-05 06:00:22,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 ⭐ and supports 60W charging. However, please note that according to the product description, it actually supports up to 30W fast charging, not 60W as stated in the reviews. The Ambrane cable, on the other hand, is rat",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,50,512,0.3333333333333333,0.21568627450980393,0.7333333333333333,0.25757575757575757,0.16666666666666666,0.5666666666666667,0.03238614066291728,0.25401069518716574,0.8900874853134155,0.8652037382125854,0.9164449572563171,0.8744733929634094,0.7999640464782715,0.5778440820041386,572,0.010594367980957031,21.950429916381836,0.9499921798706055,22.9110164642334,0.745629072189331
15,2025-12-05 06:00:53,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Determining the ""best"" iPhone lightning cable depends on personal preferences and specific needs, but based on the provided information, the Belkin Apple Certified Lightning to Type C Cable stands out. It offers fast charging capabilities, is MFi certified ensuring compatibility with Apple devices, ",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,50,512,0.29493087557603687,0.18823529411764706,0.6808510638297872,0.20276497695852538,0.12941176470588237,0.46808510638297873,0.022792562563781132,0.32042877135595355,0.8637109398841858,0.8347843289375305,0.8947142958641052,0.8018348813056946,0.8085053801536559,0.5572584064607783,1043,0.01042795181274414,30.41600799560547,0.9580845832824707,31.384520530700684,0.7594654560089111
16,2025-12-05 06:01:23,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","If you're looking for long-lasting headphones, the boAt Rockerz 450 could be a great choice. It offers a massive battery backup of up to 15 hours, which should provide you with plenty of playtime. Additionally, the padded ear cushions ensure a comfortable fit, and the 40mm drivers deliver immersive ",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.3,0.95,50,512,0.20095693779904306,0.125,0.5121951219512195,0.10526315789473685,0.06547619047619048,0.2682926829268293,0.025321328749630233,0.22594138665567245,0.8482753038406372,0.8310148119926453,0.8662681579589844,0.5687359571456909,0.8416194558143615,0.4770233134134255,952,0.010899066925048828,29.249285459518433,0.9629170894622803,30.22310161590576,0.7121245265007019
17,2025-12-05 06:02:18,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the options available, the Belkin USB C to USB-C Fast Charging Type C Cable would be a great choice for you. It offers fast charging capabilities up to 50% in around 36 minutes, is USB-IF certified for reliability, and has a sturdy build with a bend resistance of over 8,000 times. While it'",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,30,512,0.12339331619537275,0.06741573033707865,0.7272727272727273,0.09254498714652956,0.05056179775280899,0.5454545454545454,0.015291263357490498,0.31839102726823343,0.836508572101593,0.7986606359481812,0.878122091293335,0.6705459952354431,0.812869131565094,0.49540486598917055,2059,0.010985374450683594,53.42794728279114,1.0419116020202637,54.480844259262085,0.8060670495033264
18,2025-12-05 06:03:14,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 stars and supports 60W charging, as stated in its product description. However, please note that the actual maximum power supported might be 15W according to Belkin's support section, despite the product page mentioni",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,30,512,0.19742489270386268,0.11330049261083744,0.7666666666666667,0.15450643776824036,0.08866995073891626,0.6,0.02078292337565579,0.2552946866461894,0.7936202883720398,0.7019553780555725,0.9128211140632629,0.8672928810119629,0.8175351679325102,0.5291827934703579,1510,0.010846138000488281,55.220922231674194,1.0348234176635742,56.26659178733826,0.745629072189331
19,2025-12-05 06:03:38,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Based on the information provided, the Belkin Apple Certified Lightning To Type C Cable appears to be the best option among the listed products. It offers fast charging capabilities, supports USB Power Delivery, and is tested to withstand 10,000+ bends for ultimate longevity. Additionally, it is lon",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,30,512,0.34782608695652173,0.24561403508771928,0.5957446808510638,0.1863354037267081,0.13157894736842105,0.3191489361702128,0.022584899672082256,0.26168224299065423,0.8651372790336609,0.8466380834579468,0.8844629526138306,0.833716869354248,0.729645597934723,0.5509192289068664,717,0.010875225067138672,23.26324152946472,0.8994474411010742,24.173564195632935,0.7594654560089111
20,2025-12-05 06:04:09,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","For long-lasting headphones, the boAt Rockerz 450 would be a great choice. These headphones offer a massive battery backup of up to 15 hours, which ensures you can enjoy music for a long time without needing to recharge. Additionally, they feature 40mm drivers for immersive HD audio, and their ergon",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,30,512,0.18604651162790697,0.11494252873563218,0.4878048780487805,0.12093023255813955,0.07471264367816093,0.3170731707317073,0.026060045093696006,0.24949728319000558,0.8354344367980957,0.8312516212463379,0.8396594524383545,0.6076515316963196,0.5411123931407928,0.45522842625934223,1047,0.010449647903442383,29.58169198036194,0.944432258605957,30.536573886871338,0.7121245265007019
21,2025-12-05 06:04:34,Recommend a good fast charging USB-C cable under 300 rupees,"The boAt A400 at ₹299 is recommended, supporting 24W-25W fast charging and having a slightly higher customer rating. For a tighter budget, the pTron Solero TB301 at ₹149 supports 15W fast charging.","Based on the information provided, the Belkin USB C to USB-C Fast Charging Type C Cable would be a great choice for you. It's certified by USB-IF, supports up to 60W PD for fast charging, and is built to withstand 8, 000 bends. Although it's currently priced at ₹599, which is above 300 rupees, it of",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,50,512,0.2625,0.16535433070866143,0.6363636363636364,0.21250000000000002,0.13385826771653545,0.5151515151515151,0.045487538626002674,0.39060621091871095,0.8698697686195374,0.8431495428085327,0.8983389735221863,0.5501760840415955,0.847719645500183,0.5229143090136287,679,0.010873079299926758,24.305265426635742,0.912039041519165,25.228177547454834,0.8060670495033264
22,2025-12-05 06:04:59,Which cable has the highest rating and supports 60W charging?,"The Belkin USB-C to USB-C Fast Charging Cable (60W PD) is the best match, offering a strong 4.5-star rating along with full 60W fast-charging support.","The Belkin USB C to USB-C Fast Charging Type C Cable has the highest rating at 4.5 ⭐ based on 577 reviews and it supports 60W charging, as stated in its description. The Ambrane cables have ratings of 4.0 ⭐ each, with one supporting up to 60W but the other does not mention this specification clearly",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,50,512,0.2838709677419355,0.176,0.7333333333333333,0.21935483870967742,0.136,0.5666666666666667,0.031544886817394764,0.28781486146095725,0.8809443712234497,0.8479136228561401,0.9166527986526489,0.8742704391479492,0.808224582672119,0.5725619374487085,726,0.01221776008605957,23.961639165878296,0.9083120822906494,24.882169008255005,0.745629072189331
23,2025-12-05 06:05:22,What is the best iPhone lightning cable in the list?,"For super-fast charging with a USB-C adapter, the Belkin Lightning to USB-C is best. For a reliable and durable standard cable with a good warranty, the Duracell USB-A to Lightning is a great choice. The Hi-Mobiler is the most budget-friendly option.","Based on the provided information, the Belkin Apple Certified Lightning to Type C Cable appears to be the best option among the listed products. It offers fast charging, supports USB Power Delivery for quick power boosts, and is tested to withstand 10,000+ bends for ultimate longevity. Additionally,",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,50,512,0.31724137931034485,0.23469387755102042,0.48936170212765956,0.17931034482758623,0.1326530612244898,0.2765957446808511,0.024142753117200905,0.23854961832061072,0.868266761302948,0.8545430898666382,0.8824384808540344,0.8332478404045105,0.7439563393592834,0.5459637828161722,621,0.010827302932739258,21.85848355293274,0.9047811031341553,22.774091958999634,0.7594654560089111
24,2025-12-05 06:05:53,Suggest me some good long lasting headphones,"The boAt Bassheads 100 in-ear wired earphones are recommended for longevity, featuring a premium coated wire for sturdiness and a 1-year warranty. They have a 4.1-star rating from over 360,000 reviews and cost between ₹349-₹379.","Based on the reviews and specifications provided, the boAt Rockerz 450 seems like a solid choice for long-lasting headphones. They offer up to 15 hours of playback time, which is significantly longer than the 8 hours offered by the boAt Rockerz 400. Additionally, the boAt Rockerz 450 have 40mm drive",BAAI/bge-small-en-v1.5,Qwen/Qwen2.5-7B-Instruct,3,0.7,0.85,50,512,0.1941747572815534,0.12121212121212122,0.4878048780487805,0.12621359223300968,0.07878787878787878,0.3170731707317073,0.008346734733542827,0.19305019305019308,0.840682864189148,0.8293207287788391,0.852360725402832,0.5913757085800171,0.5852787494659424,0.44880477009222414,973,0.010384559631347656,29.99333620071411,0.9351603984832764,30.938881158828735,0.7121245265007019
