experiment_id,strategy,sample_type,few_shot_k,user_query_original,user_query_variant,user_id,llm_prompt,scenario_id,start_time_iso,end_time_iso,latency_seconds,response_chars,response_text,error,ideal_answer,metric_token_overlap_f1,helpfulness_score,factuality_score
earphones_durability_zero,zero_shot,Earphones / Headphones,0,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-09T18:09:11,2025-12-09T18:16:00,409.536,248,,,"An ideal answer recommends 1–2 specific wired earphones, explains durability around the jack using reviews, stays under ₹1,000, and clearly calls out pros/cons and any mic/comfort trade-offs.",0.1471,,
exp_earphones_zero,earphones_durable,zero_shot,Earphones / Headphones,0,,What type of wired earphones should I buy that can survive rough daily use and getting thrown in my bag all the time?,,"Baseline zero-shot: no examples, just base prompt + ML/RAG context.","You are an expert product review advisor. Use the ML ranking and RAG snippets provided after this prompt to recommend the best product(s) for the user. Be specific, mention trade-offs, and stay within the given products.",0.7,0.9,512,2025-12-05T22:44:15,2025-12-05T22:47:07,172.179,230,Realme Buds Classic Wired in Ear Earphones with Mic (Black) are the best in this range right now. The TPU material of cable is durable and reliable for daily use. The sound is balanced and the mic works even in noisy environments.,
exp_earphones_fs3,earphones_durable,few_shot_3,Earphones / Headphones,3,,What type of wired earphones should I buy that can survive rough daily use and getting thrown in my bag all the time?,I am rough with my earphones and keep throwing them in my bag. Suggest 1–2 durable wired earphones that will last.,Few-shot (k=3) with earphone examples from sample_responses.json.,"You are an expert product review advisor. Focus on durability, cable strength, and long-term reliability. Use the ML ranking and RAG snippets plus the examples above to structure your answer.",0.7,0.9,512,2025-12-05T22:47:11,2025-12-05T22:59:22,730.601,1032,"Realme Buds Classic Wired in Ear Earphones with Mic (Black)
Price: They're a fantastic deal right now, priced at just ₹399 (originally ₹699, that's a sweet 43% off!).
Rating: With a solid 4.0 ⭐ rating from over 37,000 reviews, they're definitely a popular choice.
Here's why these could be your new best friend for durability:

The product description specifically highlights that the cable is made from TPU material, which is designed to be ""durable and reliable for daily use."" This is exactly what you need to survive those bumps and jostles in your bag! No more worrying about those fragile points near the jack.

On top of that, they're Sweat Proof, which is a nice bonus for active days, and they have a ""Half in-ear comfortable design,"" so they should feel good even during longer listening sessions. Reviewers also often praise their sound quality (especially for calls!) and how soft and comfortable they are.

Hope these Realme Buds Classic give your ears (and your wallet!) a much-needed break from constant replacements!",
exp_earphones_fs5,earphones_durable,few_shot_5,Earphones / Headphones,5,,What type of wired earphones should I buy that can survive rough daily use and getting thrown in my bag all the time?,I need tough wired earphones that can survive daily rough use and being stuffed into a bag. Recommend 1–2 options with pros and cons.,Few-shot (k=5) – testing effect of more examples.,"You are an expert product review advisor. Copy the style of the examples above: short intro, clear pros/cons, and an honest final recommendation. Use only the products from ML/RAG.",0.7,0.9,512,2025-12-05T22:59:35,2025-12-05T23:00:12,,0,,_ssl.c:1011: The handshake operation timed out
exp_earphones_cot,earphones_durable,cot,Earphones / Headphones,0,,What type of wired earphones should I buy that can survive rough daily use and getting thrown in my bag all the time?,Think step-by-step and recommend durable wired earphones based on ML/RAG results.,"Chain-of-thought strategy – reason step-by-step, then final recommendation.","You are an expert product advisor. Carefully reason through the top candidates using the ML and RAG context, then end with a short 'Final Recommendation' section.",0.3,0.9,512,2025-12-05T23:00:22,2025-12-05T23:03:47,205.103,348,"Final Recommendation:
The Realme Buds Classic Wired in Ear Earphones with Mic (Black) are currently the most durable option. The TPU cable is explicitly stated to be reliable for daily use, and the build quality is excellent. The Xiaomi-MI Wired in Ear Earphones with Mic Basic are also very good, but the Realme has slightly better sound quality.",
earphones_durability_zero,zero_shot,Earphones / Headphones,0,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-05T23:08:43,2025-12-05T23:13:24,281.192,158,Realme Buds Classic Wired in Ear Earphones with Mic (Black) at ₹399 are the best in this range right now. The TPU cable is durable and reliable for daily use.,,,,,
earphones_durability_fs3,few_shot_3,Earphones / Headphones,3,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-05T23:13:35,2025-12-05T23:26:53,797.689,1393,"Oh no, constantly replacing earphones because they break near the jack is so frustrating, especially when you're just trying to throw them in your bag! It sounds like you need something seriously tough.

Good news – I found a solid contender that sounds like it could be perfect for your needs, especially focusing on that crucial durability around the cable:

Realme Buds Classic Wired in Ear Earphones with Mic (Black)
Price: They're a fantastic deal right now, priced at just ₹399 (originally ₹699, that's a sweet 43% off!).
Rating: With a solid 4.0 ⭐ rating from over 37,000 reviews, they're definitely a popular choice.
Here's why these could be your new best friend for durability:

The product description specifically highlights that the cable is made from TPU material, which is designed to be ""durable and reliable for daily use."" This is exactly what you need to survive those bumps and jostles in your bag! No more worrying about those fragile points near the jack.

On top of that, they're Sweat Proof, which is a nice bonus for active days, and they have a ""Half in-ear comfortable design,"" so they should feel good even during longer listening sessions. Reviewers also often praise their sound quality (especially for calls!) and how soft and comfortable they are.

Hope these Realme Buds Classic give your ears (and your wallet!) a much-needed break from constant replacements!",,,,,
earphones_durability_fs5,few_shot_5,Earphones / Headphones,5,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-05T23:27:01,2025-12-05T23:47:46,1245.406,1393,"Oh no, constantly replacing earphones because they break near the jack is so frustrating, especially when you're just trying to throw them in your bag! It sounds like you need something seriously tough.

Good news – I found a solid contender that sounds like it could be perfect for your needs, especially focusing on that crucial durability around the cable:

Realme Buds Classic Wired in Ear Earphones with Mic (Black)
Price: They're a fantastic deal right now, priced at just ₹399 (originally ₹699, that's a sweet 43% off!).
Rating: With a solid 4.0 ⭐ rating from over 37,000 reviews, they're definitely a popular choice.
Here's why these could be your new best friend for durability:

The product description specifically highlights that the cable is made from TPU material, which is designed to be ""durable and reliable for daily use."" This is exactly what you need to survive those bumps and jostles in your bag! No more worrying about those fragile points near the jack.

On top of that, they're Sweat Proof, which is a nice bonus for active days, and they have a ""Half in-ear comfortable design,"" so they should feel good even during longer listening sessions. Reviewers also often praise their sound quality (especially for calls!) and how soft and comfortable they are.

Hope these Realme Buds Classic give your ears (and your wallet!) a much-needed break from constant replacements!",,,,,
earphones_durability_cot,cot,Earphones / Headphones,0,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-05T23:47:57,2025-12-05T23:51:21,203.835,307,"Final Recommendation:
Realme Buds Classic Wired in Ear Earphones with Mic (Black) at ₹399 are the best in class right now. The TPU cable is super durable, the sound is clear and balanced, it comes with a mic and 8 hours playtime. Just be careful with sharp bends as the cable is not completely unbreakable.",,,,,
earphones_durability_meta,meta,Earphones / Headphones,0,"I keep throwing my wired earphones in my bag and they often break near the jack. Recommend 1–2 durable wired earphones that can survive rough daily use under ₹1,000.",,,,earphones_durability_under_1000,2025-12-05T23:51:29,2025-12-05T23:55:57,268.554,580,"1. Realme Buds Classic in black at ₹399 are the best in this price range right now. They are very durable, come with a 1.2m cable and 4 microphones. Just be careful not to pull on the cable too hard.
2. Ambrane Unbreakable 350T in red at ₹599 are slightly better sounding but less durable. They have a 1.25m cable and 40mm drivers. Realme also gives a 2-year warranty which Ambrane doesn’t.
3. Inovom Unbreakable 300 in black at ₹499 are very good for daily use, come with a 1.25m cable and 35mm drivers. Realme is slightly better because of the extra 5mm and the 2-year warranty.",,,,,
